School_Year,OPT_Code,Is_OPT_Num,OPT_Clean,Name,Affiliation,Site_Type,Street_Address,City,State,Zip,Longitude,Latitude,Door_To_Door_Service,Stop_To_School_Service,Common_Carrier_Svc_Metrocards,Site_Reimbursement,Mid_Day_Service,D2D_Late_Day_Programs,S2S_Late_Day_Programs
2016-2017,20205,TRUE,20205,PS 205,Public,School,6701 20TH AVENUE,Brooklyn,NY,11204,-73.987067,40.615224,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20220,TRUE,20220,IS 220,Public,School,4812 9TH AVENUE,Brooklyn,NY,11220,-74.000667,40.640729,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20223,TRUE,20223,JHS 223,Public,School,4200 16TH AVENUE,Brooklyn,NY,11204,-73.981607,40.634925,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20227,TRUE,20227,IS 227,Public,School,6500 16TH AVENUE,Brooklyn,NY,11204,-73.9951,40.621957,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20229,TRUE,20229,PS 229 DYKER,Public,School,1400 BENSON AVENUE,Brooklyn,NY,11228,-74.013441,40.610905,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20247,TRUE,20247,PS 247,Public,School,7000 21 AVENUE,Brooklyn,NY,11204,-73.986789,40.612322,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20259,TRUE,20259,IS 259,Public,School,7301 FORT HAMILTON PARKWAY,Brooklyn,NY,11228,-74.015032,40.626634,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20264,TRUE,20264,PS 264-BAY RIDGE ELEM SCHOOL,Public,School,371 89TH STREET,Brooklyn,NY,11209,-74.03012,40.621028,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20310,TRUE,20310,PS 310,Public,School,942 62ND STREET,Brooklyn,NY,11219,-74.007714,40.63242,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20410,TRUE,20410,SHALSHELES BAIS YAAKOV,Yeshiva,School,1681 42 Street,Brooklyn,NY,11204,-73.979594,40.633957,Yes,Yes,Yes,No,Yes,No,Yes
2016-2017,20415,TRUE,20415,P371K @ P871K,Public,School,350 67 STREET,Brooklyn,NY,11220,-74.023909,40.637222,Yes,No,Yes,No,Yes,No,No
2016-2017,20441,TRUE,20441,PS 104 AX,Public,School,415 89TH STREET,Brooklyn,NY,11209,-74.028842,40.620375,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20442,TRUE,20442,P231K @ P 331,Public,School,7002 4TH AVENUE,Brooklyn,NY,11209,-74.024043,40.63362,Yes,No,Yes,No,Yes,No,No
2016-2017,20443,TRUE,20443,P721K @ VETERAN'S HOSP       W,Public,School,800 POLY PLACE,Brooklyn,NY,11209,-74.025331,40.609737,Yes,No,Yes,No,Yes,No,No
2016-2017,20446,TRUE,20446,P370K @ PS 163,Public,School,109 BAY 14TH STREET,Brooklyn,NY,11214,-74.00797,40.606753,Yes,No,Yes,No,Yes,No,No
2016-2017,20447,TRUE,20447,P004K @ PS 200,Public,School,1940 BENSON AVENUE,Brooklyn,NY,11214,-74.001469,40.603127,No,No,No,No,No,No,No
2016-2017,20448,TRUE,20448,P231K @ PS 264,Public,School,371 89TH STREET,Brooklyn,NY,11209,-74.03012,40.621028,Yes,No,Yes,No,Yes,No,No
2016-2017,20449,TRUE,20449,PS 170 AX,Public,School,415 OVINGTON AVENUE,Brooklyn,NY,11209,-74.0232,40.633511,No,No,No,No,No,No,No
2016-2017,20450,TRUE,20450,P077K @ I227K,Public,School,6500 16TH AVE,Brooklyn,NY,11204,-73.9951,40.621957,No,No,No,No,No,No,No
2016-2017,20461,TRUE,20461,P370K @ NEW UTRECHT HS,Public,School,1601 80TH STREET,Brooklyn,NY,11214,-74.003341,40.613321,No,No,Yes,No,No,No,No
2016-2017,20462,TRUE,20462,P370K @ PB 70,Public,School,50 AVENUE P,Brooklyn,NY,11204,-73.986591,40.607233,Yes,No,Yes,No,No,No,No
2016-2017,20464,TRUE,20464,P053K @ FORT HAMILTON EARLY CH,Public,School,415 89 STREET,Brooklyn,NY,11209,-74.028842,40.620375,No,No,No,No,No,No,No
2016-2017,20467,TRUE,20467,P370K @ VETERANS ADMIN HOSP,Public,School,800 POLY PLACE,Brooklyn,NY,11209,-74.024606,40.609508,Yes,No,Yes,No,No,No,No
2016-2017,20469,TRUE,20469,P371K @ MAIMONIDES HOSPITAL,Public,School,915 49TH STREET,Brooklyn,NY,11219,-74.000305,40.64008,No,No,Yes,No,No,No,No
2016-2017,20470,TRUE,20470,P036K @ P192K,Public,School,4715 18 AVE,Brooklyn,NY,11214,-73.979914,40.629256,Yes,No,Yes,No,Yes,No,No
2016-2017,20480,TRUE,20480,P053K @ P104K,Public,School,9115 5TH AVENUE,Brooklyn,NY,11209,-74.028758,40.618372,Yes,No,Yes,No,Yes,No,No
2016-2017,20485,TRUE,20485,P077K @ P164K,Public,School,4211 14TH AVENUE,Brooklyn,NY,11219,-73.985877,40.63744,Yes,No,Yes,No,Yes,No,No
2016-2017,20488,TRUE,20488,P231K @ P180K,Public,School,5601 16 AVE,Brooklyn,NY,11204,-73.989591,40.62698,Yes,No,Yes,No,No,No,No
2016-2017,20500,TRUE,20500,HS OF TELE ARTS & TECH,Public,School,350 67TH STREET,Brooklyn,NY,11220,-74.023909,40.637222,Yes,No,Yes,No,Yes,No,No
2016-2017,20506,TRUE,20506,SCH OF JOURNALISM & TECHNOLOGY,Public,School,330 59TH STREET,Brooklyn,NY,11220,-74.019066,40.642064,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20517,TRUE,20517,FORT HAMILTON HS,Public,School,8301 SHORE ROAD,Brooklyn,NY,11209,-74.039956,40.627784,Yes,No,Yes,No,No,No,No
2016-2017,20519,TRUE,20519,F D ROOSEVELT HS,Public,School,5800 20TH AVENUE,Brooklyn,NY,11204,-73.981871,40.620494,Yes,No,Yes,No,Yes,No,No
2016-2017,20535,TRUE,20535,NEW UTRECHT HS,Public,School,1601 80TH STREET,Brooklyn,NY,11214,-74.003341,40.613321,Yes,No,Yes,No,Yes,No,No
2016-2017,20553,TRUE,20553,PS 503 EXPLORATION & DISCOVERY,Public,School,330 59TH STREET,Brooklyn,NY,11220,-74.019066,40.642064,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20555,TRUE,20555,Elite High School,Yeshiva,School,2115 Benson Ave,Brooklyn,NY,11214,-73.997316,40.60138,No,No,Yes,No,Yes,No,No
2016-2017,20600,TRUE,20600,FONTBONNE HALL,Parochial,School,9901 SHORE ROAD,Brooklyn,NY,11209,-74.036856,40.613647,No,No,Yes,No,No,No,No
2016-2017,20609,TRUE,20609,U.A.SCH FOR CRIMINAL JUSTICE,Public,School,4200 16TH AVENUE,Brooklyn,NY,11204,-73.981607,40.634925,Yes,Yes,Yes,No,Yes,No,No
2016-2017,20611,TRUE,20611,TALMUD TORAH DARKEI CHAIM,Yeshiva,School,1470 56th Street,Brooklyn,NY,11219,-73.992634,40.628845,No,No,No,Yes,No,No,No
2016-2017,20613,TRUE,20613,YESHIVA BETH HILLEL OF KRASNA,Yeshiva,School,1623 44TH STREET,Brooklyn,NY,11204,-73.981792,40.633459,No,No,Yes,Yes,Yes,No,No
2016-2017,20646,TRUE,20646,MOSDOS SATMAR,Yeshiva,School,5901 13TH AVENUE,Brooklyn,NY,11219,-73.997943,40.629286,No,No,No,Yes,No,No,No
2016-2017,20647,TRUE,20647,CSE 7,Public,Office,415 89TH STREET,Brooklyn,NY,11209,-74.028842,40.620375,No,No,Yes,No,No,No,No
2016-2017,20651,TRUE,20651,BEIS FRIMA CHINUCH CENTER,Yeshiva,School,4124 14TH AVENUE,Brooklyn,NY,11219,-73.985526,40.63805,No,No,Yes,Yes,No,No,No
2016-2017,20654,TRUE,20654,RYKEN ED.CTR.(R.E.A.C.H.PROG.),Nonsectarian,School,7100 SHORE ROAD,Brooklyn,NY,11209,-74.036426,40.636639,Yes,No,Yes,No,No,No,No
2016-2017,20656,TRUE,20656,BAIS TZIPORAH,Yeshiva,School,1449 39TH STREET,Brooklyn,NY,11218,-73.98294,40.638712,No,No,Yes,Yes,No,No,No
2016-2017,20658,TRUE,20658,Y.A.B.C.@ F.D.R. HS,Public,School,5800 20TH AVENUE,Brooklyn,NY,11204,-73.981871,40.620494,No,No,Yes,No,No,No,No
2016-2017,20663,TRUE,20663,P721K @ Boro Park Center,Public,School,4915 10th AVENUE,Brooklyn,NY,11219,-73.99878,40.638824,Yes,No,Yes,No,Yes,No,No
2016-2017,20664,TRUE,20664,GED PLUS @ MAIMONIDES HOSPITAL,Public,Office,915 49TH STREET,Brooklyn,NY,11232,-74.000305,40.64008,No,No,No,No,No,No,No
